招聘主题,用人单位,发布日期,浏览次数
工程技术类,深圳市国立智能电力科技有限公司,2021-11-24,119
技术型销售,深圳市国立智能电力科技有限公司,2021-11-24,123
市场策划,深圳市国立智能电力科技有限公司,2021-11-24,126
教师岗,新余学院,2021-11-24,129
生产装配调试类,深圳市国立智能电力科技有限公司,2021-11-24,124
工艺/客服/质量/设备/设计工程师,江苏长电科技股份有限公司,2021-11-24,129
Power Management IC Design Engineer,联发科技（合肥）有限公司,2021-11-24,124
软件开发工程师（后端）,益佳医（西安）软件技术有限公司,2021-11-24,126
河南科技大学诚聘优秀人才,河南科技大学,2021-11-24,125
算法与数据科学方向,华控清交信息科技（北京）有限公司,2021-11-24,130
市场策划专员,安徽江汽物流有限公司,2021-11-23,127
培训生,中信证券（山东）有限责任公司淄博柳泉路证券营业部,2021-11-23,141
重庆电力高等专科学校,重庆电力高等专科学校,2021-11-23,138
储备技术员,山西晋钢智造科技实业有限公司,2021-11-23,134
专利代理人助理,北京市创世宏景专利商标代理有限责任公司,2021-11-23,132
运营管理专员,安徽江汽物流有限公司,2021-11-23,127
销售经理/大客户经理,上海轩田工业设备有限公司,2021-11-23,127
专利流程专员兼行政助理,北京市创世宏景专利商标代理有限责任公司,2021-11-23,126
智慧物流工程师,安徽江汽物流有限公司,2021-11-23,127
供应链管理专员,安徽江汽物流有限公司,2021-11-23,124
软件开发工程师,上海轩田工业设备有限公司,2021-11-23,125
软件开发工程师,上海轩田工业设备有限公司,2021-11-23,132
机械工程师,上海轩田工业设备有限公司,2021-11-23,133
电气工程师,上海轩田工业设备有限公司,2021-11-23,126
投资分析岗,宁波国君源泓投资管理有限公司,2021-11-23,132
管培生（市场营销方向）,鑫方盛控股集团有限公司,2021-11-23,119
管培生（商品采购方向）,鑫方盛控股集团有限公司,2021-11-23,118
超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-11-23,154
投资经理,宁波国君源泓投资管理有限公司,2021-11-23,121
电子电路工程师,厦门乃尔电子有限公司,2021-11-23,118
算法工程师,深圳市国立智能电力科技有限公司,2021-11-23,118
Android开发工程师（MJ002632）,深圳市掌锐电子有限公司,2021-11-23,145
电子工程师,深圳市掌锐电子有限公司,2021-11-23,153
储备干部,厦门乃尔电子有限公司,2021-11-23,120
电子电路工程师,厦门乃尔电子有限公司,2021-11-23,121
销售经理,厦门乃尔电子有限公司,2021-11-23,123
嵌入式硬件工程师,厦门乃尔电子有限公司,2021-11-23,118
教师岗,洛阳职业技术学院,2021-11-23,118
FPGA开发工程师,厦门乃尔电子有限公司,2021-11-23,121
嵌入式软件工程师,厦门乃尔电子有限公司,2021-11-23,116
IC验证工程师,上海道生物联技术有限公司,2021-11-22,128
初级嵌入式工程师,上海道生物联技术有限公司,2021-11-22,129
FAE工程师,上海道生物联技术有限公司,2021-11-22,125
射频工程师,上海道生物联技术有限公司,2021-11-22,130
算法工程师,中科特思信息技术（深圳）有限公司,2021-11-22,131
GLOBAL YOUNG TALENTS,上海交通大学,2021-11-22,125
硬件工程师,中科特思信息技术（深圳）有限公司,2021-11-22,141
嵌入式工程师,中科特思信息技术（深圳）有限公司,2021-11-22,128
大数据开发工程师,河南校信通教育科技有限公司,2021-11-22,135
专任辅导员,承德石油高等专科学校,2021-11-22,162
JAVA开发工程师,河南校信通教育科技有限公司,2021-11-22,130
客户端开发工程师,河南校信通教育科技有限公司,2021-11-22,127
教育产品研发（文科：含语文、英语）,河南校信通教育科技有限公司,2021-11-22,131
嵌入式工程师,中科特思信息技术（深圳）有限公司,2021-11-22,123
Java开发工程师,上海广为电器集团有限公司,2021-11-22,154
网络安全工程师,河南校信通教育科技有限公司,2021-11-22,130
教育产品研发（理科：含数学、物理、化学）,河南校信通教育科技有限公司,2021-11-22,128
开发工程师,北京中科泛华测控技术有限公司,2021-11-22,118
光学元器件研发工程师,湖南戴斯光电有限公司,2021-11-22,116
自动化设备研发工程师,湖南戴斯光电有限公司,2021-11-22,122
业务员,湖南戴斯光电有限公司,2021-11-22,115
研发序列/营销序列/技术序列,烟台东方威思顿电气有限公司,2021-11-22,138
校内实习生,西安联易共享信息科技有限公司,2021-11-22,123
光学工程师,惠州市星聚宇光学有限公司,2021-11-22,125
项目工程师,惠州市星聚宇光学有限公司,2021-11-22,129
光学与工艺工程师,惠州市星聚宇光学有限公司,2021-11-22,125
新媒体文案,陕西巨量星图教育科技有限公司,2021-11-22,194
短视频剪辑,陕西巨量星图教育科技有限公司,2021-11-22,190
新媒体运营,陕西巨量星图教育科技有限公司,2021-11-22,201
流量投手,陕西巨量星图教育科技有限公司,2021-11-22,208
课程顾问,陕西巨量星图教育科技有限公司,2021-11-22,189
销售工程师,上海道生物联技术有限公司,2021-11-22,114
研发工程师,上海心玮医疗科技股份有限公司,2021-11-21,111
电子工程师,上海心玮医疗科技股份有限公司,2021-11-21,114
硬件工程师,上海心玮医疗科技股份有限公司,2021-11-21,113
Linux系统开发工程师,上海心玮医疗科技股份有限公司,2021-11-21,110
软件工程师（图像）,上海心玮医疗科技股份有限公司,2021-11-21,111
注册工程师,上海心玮医疗科技股份有限公司,2021-11-21,109
质量工程师,上海心玮医疗科技股份有限公司,2021-11-21,112
生化测试工程师（化学）,上海心玮医疗科技股份有限公司,2021-11-21,108
生化测试工程师（微生物）,上海心玮医疗科技股份有限公司,2021-11-21,108
SQE工程师,上海心玮医疗科技股份有限公司,2021-11-21,110
工艺工程师,上海心玮医疗科技股份有限公司,2021-11-21,112
设备工程师,上海心玮医疗科技股份有限公司,2021-11-21,110
FPGA工程师,上海心玮医疗科技股份有限公司,2021-11-21,131
市场专员,上海心玮医疗科技股份有限公司,2021-11-21,106
工程管理岗,中建方圆华东城市开发建设有限公司,2021-11-21,126
信息化岗,中建方圆华东城市开发建设有限公司,2021-11-21,147
人力资源岗,中建方圆华东城市开发建设有限公司,2021-11-21,133
投融资管理岗,中建方圆华东城市开发建设有限公司,2021-11-21,126
行政管理岗,中建方圆华东城市开发建设有限公司,2021-11-21,126
香港科技大学工学院理学硕士环境工程学及管理(MSc EVEM)2022Fall宣讲会(线上),南京途善久文化传播有限公司,2021-11-21,192
香港科技大学工学院理学硕士土木基建工程及管理(MSc CIEM)2022Fall宣讲会(线上),南京途善久文化传播有限公司,2021-11-21,180
嵌入式开发工程师  (C/C++ ),深圳市掌锐电子有限公司,2021-11-20,210
研发工程师（程序/电气）,广东利元亨智能装备股份有限公司,2021-11-20,121
研发工程师（嵌入式硬件）,广东利元亨智能装备股份有限公司,2021-11-20,115
机械管培生,广东利元亨智能装备股份有限公司,2021-11-20,117
重庆文理学院面向海内外公开招聘二级学院院长公告,北京磐石活水信息科技有限公司,2021-11-20,121
研发工程师（嵌入式软件）,广东利元亨智能装备股份有限公司,2021-11-20,118
研发工程师（嵌入式驱动）,广东利元亨智能装备股份有限公司,2021-11-20,115
研发工程师（机器人方案）,广东利元亨智能装备股份有限公司,2021-11-20,116
程序管培生,广东利元亨智能装备股份有限公司,2021-11-20,117
电气管培生,广东利元亨智能装备股份有限公司,2021-11-20,115
激光管培生,广东利元亨智能装备股份有限公司,2021-11-20,119
视觉管培生,广东利元亨智能装备股份有限公司,2021-11-20,115
软件管培生,广东利元亨智能装备股份有限公司,2021-11-20,117
研发质量管培生,广东利元亨智能装备股份有限公司,2021-11-20,116
项目管培生,广东利元亨智能装备股份有限公司,2021-11-20,120
人力资源管培生,广东利元亨智能装备股份有限公司,2021-11-20,117
行政管培生,广东利元亨智能装备股份有限公司,2021-11-20,146
标准化工程师,广东利元亨智能装备股份有限公司,2021-11-20,112
产品管培生,广东利元亨智能装备股份有限公司,2021-11-20,118
大唐电信科技股份有限公司2022应届生招聘,大唐电信科技股份有限公司,2021-11-20,126
硬件开发工程师,北京蓝拓扑科技股份有限公司,2021-11-19,130
FPGA开发工程师,北京蓝拓扑科技股份有限公司,2021-11-19,134
嵌入式软件开发工程师,北京蓝拓扑科技股份有限公司,2021-11-19,131
香港科技大学工学院理学硕士（MSc）综合场线上招生宣讲会,南京途善久文化传播有限公司,2021-11-19,196
电气工程师,国家管网集团西部管道有限责任公司,2021-11-19,211
自动化工程师,国家管网集团西部管道有限责任公司,2021-11-19,199
马克思主义教学部,茅台学院,2021-11-19,129
酿酒工程自动化系,茅台学院,2021-11-19,143
酿酒工程系,茅台学院,2021-11-19,126
旅游管理系,茅台学院,2021-11-19,117
食品科学与工程,茅台学院,2021-11-19,120
工商管理系,茅台学院,2021-11-19,118
谱育科技2022年校园招聘-开发类岗位,杭州谱育科技发展有限公司,2021-11-19,122
雷达信号处理工程师,中国船舶重工集团南京鹏力科技集团有限公司,2021-11-19,137
Java软件工程师,中国船舶重工集团南京鹏力科技集团有限公司,2021-11-19,127
超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-11-19,132
2022校园招聘-管培生,大悦城控股集团（浙江）有限公司,2021-11-19,181
电子电气工程师,西安大医集团有限公司,2021-11-19,166
临床工程师,西安大医集团有限公司,2021-11-19,134
销售工程师,西安大医集团有限公司,2021-11-19,127
算法工程师,西安大医集团有限公司,2021-11-19,129
软件测试工程师,西安大医集团有限公司,2021-11-19,140
web前端工程师,西安大医集团有限公司,2021-11-19,124
人力资源专员,西安大医集团有限公司,2021-11-19,128
生物研发研究员／生物研发高级研究员,辉源生物科技（上海）有限公司,2021-11-19,192
算法工程师,弈芯科技（杭州）有限公司,2021-11-19,122
软件开发工程师,弈芯科技（杭州）有限公司,2021-11-19,116
软件测试工程师,弈芯科技（杭州）有限公司,2021-11-19,114
产品应用工程师,弈芯科技（杭州）有限公司,2021-11-19,126
销售经理,常州市创联电源科技股份有限公司,2021-11-19,185
博士后研究人员,深圳市自然资源和不动产评估发展研究中心（深圳市地质环境监测中心）,2021-11-19,121
实习生,深圳市自然资源和不动产评估发展研究中心（深圳市地质环境监测中心）,2021-11-19,107
售前解决方案管培生（上海）,华控清交信息科技（北京）有限公司,2021-11-19,130
研发技术类,福建和盛高科技产业有限公司,2021-11-18,186
研发工程师,盘星新型合金材料（常州）有限公司,2021-11-18,125
研发助理,盘星新型合金材料（常州）有限公司,2021-11-18,118
技术培训生,盘星新型合金材料（常州）有限公司,2021-11-18,121
销售工程师,盘星新型合金材料（常州）有限公司,2021-11-18,114
结构设计工程师,杭州神林电子有限公司,2021-11-18,108
研发工程师,彤程新材料集团股份有限公司,2021-11-18,116
高级研发工程师,彤程新材料集团股份有限公司,2021-11-18,112
助理研发工程师,彤程新材料集团股份有限公司,2021-11-18,111
高级材料工程师,彤程新材料集团股份有限公司,2021-11-18,115
分析测试工程师,彤程新材料集团股份有限公司,2021-11-18,115
硬件工程师,北京星际导控科技有限责任公司,2021-11-18,212
人工智能算法工程师,龙盈智达（北京）科技有限公司,2021-11-18,126
技术岗,山东电力设备有限公司,2021-11-18,134
技术岗或营销技术支持岗,山东电力设备有限公司,2021-11-18,126
数据挖掘与建模工程师,龙盈智达（北京）科技有限公司,2021-11-18,131
研发工程师,龙盈智达（北京）科技有限公司,2021-11-18,124
风控策略分析师,龙盈智达（北京）科技有限公司,2021-11-18,121
产品经理（金融方向）,龙盈智达（北京）科技有限公司,2021-11-18,160
电气设计,珠海许继电气有限公司,2021-11-18,156
硬件开发,珠海许继电气有限公司,2021-11-18,119
软件开发 （嵌入式方向）,珠海许继电气有限公司,2021-11-18,121
软件开发,珠海许继电气有限公司,2021-11-18,121
技术支持,珠海许继电气有限公司,2021-11-18,136
人工智能算法工程师,龙盈智达（北京）科技有限公司,2021-11-18,119
产品测试,珠海许继电气有限公司,2021-11-18,118
会计,珠海许继电气有限公司,2021-11-18,118
人力资源管理,珠海许继电气有限公司,2021-11-18,120
数据挖掘与建模工程师,龙盈智达（北京）科技有限公司,2021-11-18,111
研发工程师,龙盈智达（北京）科技有限公司,2021-11-18,116
风控策略分析师,龙盈智达（北京）科技有限公司,2021-11-18,118
产品经理（金融方向）,龙盈智达（北京）科技有限公司,2021-11-18,119
测试工程师,龙盈智达（北京）科技有限公司,2021-11-18,118
管培生,龙盈智达（北京）科技有限公司,2021-11-18,112
数字IC工程师,联发科技（合肥）有限公司,2021-11-18,124
设备工程师,英洛华科技股份有限公司,2021-11-18,121
质量工程师,英洛华科技股份有限公司,2021-11-18,115
生产管理岗,英洛华科技股份有限公司,2021-11-18,116
职能管理岗,英洛华科技股份有限公司,2021-11-18,132
项目经理,英洛华科技股份有限公司,2021-11-18,114
供应链管理采购,英洛华科技股份有限公司,2021-11-18,112
生物医学硕博人才,兰州安必奇生物科技有限公司,2021-11-18,115
天线工程师,东莞同济大学研究院,2021-11-18,120
射频工程师,东莞同济大学研究院,2021-11-18,115
雷达系统工程师,东莞同济大学研究院,2021-11-18,122
视觉应用工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,112
视觉应用工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,110
视觉开发工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,115
数据算法工程师,东莞同济大学研究院,2021-11-18,116
技术支持工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,119
芯片工程师,材料科学姑苏实验室,2021-11-18,118
外延工程师,材料科学姑苏实验室,2021-11-18,115
软件工程师,东莞同济大学研究院,2021-11-18,115
外延研发科学家,材料科学姑苏实验室,2021-11-18,110
管理培训生,华立集团股份有限公司,2021-11-18,149
前端工程师,东莞同济大学研究院,2021-11-18,112
芯片研发科学家,材料科学姑苏实验室,2021-11-18,133
PFGA工程师,东莞同济大学研究院,2021-11-18,115
版图设计工程师（Layout engineer),东莞同济大学研究院,2021-11-18,111
机械研发工程师,杭州久益机械股份有限公司,2021-11-18,110
电气工程师,杭州久益机械股份有限公司,2021-11-18,112
产品工程师（技术支持）,杭州久益机械股份有限公司,2021-11-18,113
编译验证实习生,北极雄芯信息科技（西安）有限公司,2021-11-18,116
设备管理工程师,杭州久益机械股份有限公司,2021-11-18,114
振动噪声测试工程师,杭州久益机械股份有限公司,2021-11-18,111
仿真分析工程师,杭州久益机械股份有限公司,2021-11-18,109
工艺工程师,杭州久益机械股份有限公司,2021-11-18,104
型线设计工程师,杭州久益机械股份有限公司,2021-11-18,106
销售应用工程师,杭州久益机械股份有限公司,2021-11-18,109
管理培训生,杭州久益机械股份有限公司,2021-11-18,112
信息安全开发工程师,航天信息股份有限公司北京智税分公司,2021-11-18,131
硬件工程师,山东新北洋信息技术股份有限公司,2021-11-18,192
热招：IT互联网高端猎头顾问/管培生（欢迎转行，欢迎应届生，北京朝阳门包住）,北京嗨猎咨询有限公司,2021-11-18,121
嵌入式软件工程师,山东新北洋信息技术股份有限公司,2021-11-18,218
算法工程师岗,山东新北洋信息技术股份有限公司,2021-11-18,198
机械设计研发岗1,山东新北洋信息技术股份有限公司,2021-11-18,200
软件工程师（C++）,山东新北洋信息技术股份有限公司,2021-11-18,185
教师,新余学院,2021-11-18,146
【华睿科技】2022届FPGA工程师,浙江华睿科技股份有限公司,2021-11-18,199
【华睿科技】2022届算法优化工程师,浙江华睿科技股份有限公司,2021-11-18,209
【华睿科技】2022届硬件工程师,浙江华睿科技股份有限公司,2021-11-18,203
【华睿科技】2022届C++软件工程师,浙江华睿科技股份有限公司,2021-11-18,206
专任教师,东莞理工学院,2021-11-17,195
市场助理,深圳中正信息科技有限公司,2021-11-17,119
数字前端工程师,上海宇勘科技有限公司,2021-11-17,140
模拟集成电路设计师,上海宇勘科技有限公司,2021-11-17,138
版图工程师,上海宇勘科技有限公司,2021-11-17,126
营运助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,121
招商助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,116
人力行政助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,124
市场推广助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,119
慧云助理工程师,万达商业管理集团有限公司咸阳分公司,2021-11-17,119
出纳,万达商业管理集团有限公司咸阳分公司,2021-11-17,122
产品项目管理工程师,北京安博通科技股份有限公司,2021-11-17,115
产品项目支持工程师,北京安博通科技股份有限公司,2021-11-17,118
橙星管培生（车物理赔岗）,中国平安财产保验股份有限公司北京分公司,2021-11-17,198
研发工程师,英洛华科技股份有限公司,2021-11-17,117
工艺工程师,英洛华科技股份有限公司,2021-11-17,113
产品工程师,北京安博通科技股份有限公司,2021-11-17,119
产品工程师,北京安博通科技股份有限公司,2021-11-17,119
交付管理工程师,北京安博通科技股份有限公司,2021-11-17,119
行业售前,北京安博通科技股份有限公司,2021-11-17,116
行业售前,北京安博通科技股份有限公司,2021-11-17,116
战略售前,北京安博通科技股份有限公司,2021-11-17,114
电性能设计工程师,东莞同济大学研究院,2021-11-17,111
材料工程师,东莞同济大学研究院,2021-11-17,115
技术员,东莞同济大学研究院,2021-11-17,113
售前测试及招投标工程师,北京安博通科技股份有限公司,2021-11-17,112
售后技术支持工程师,北京安博通科技股份有限公司,2021-11-17,111
售后技术支持工程师,北京安博通科技股份有限公司,2021-11-17,116
应用协议开发与测试工程师,北京安博通科技股份有限公司,2021-11-17,132
C开发工程师,北京安博通科技股份有限公司,2021-11-17,118
C开发工程师,北京安博通科技股份有限公司,2021-11-17,113
陶瓷材料技术工程师,东莞同济大学研究院,2021-11-17,110
天线罩电性能设计工程师,东莞同济大学研究院,2021-11-17,109
技术员,东莞同济大学研究院,2021-11-17,109
测试工程师,北京安博通科技股份有限公司,2021-11-17,121
软件开发工程师,山东山大华天软件有限公司,2021-11-17,125
售前工程师,山东山大华天软件有限公司,2021-11-17,119
实施工程师,山东山大华天软件有限公司,2021-11-17,124
因光而遇，向光而行 | 2022新思科技校园招聘全新启动！,新思科技（武汉）有限公司,2021-11-17,111
结构工程师,东莞同济大学研究院,2021-11-17,112
电控工程师,临工集团济南重机有限公司,2021-11-17,116
橙星管培生（非水险理赔岗）,中国平安财产保验股份有限公司北京分公司,2021-11-17,187
橙星管培生（数据分析岗）,中国平安财产保验股份有限公司北京分公司,2021-11-17,185
结构设计工程师,临工集团济南重机有限公司,2021-11-17,113
IT软件工程师,临工集团济南重机有限公司,2021-11-17,121
电子工程师,江苏势通生物科技有限公司,2021-11-17,118
游戏市场调研实习生,维塔士电脑软件（西安）有限公司,2021-11-16,117
游戏开发工程师（C++）,维塔士电脑软件（西安）有限公司,2021-11-16,121
前后端技术开发,凯捷咨询（中国）有限公司,2021-11-16,121
自动化工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,116
机械工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,121
技术销售工程师,荷兰帕沃英蒂格盛有限公司深圳代表处,2021-11-16,118
嵌入式软件开发工程师,北京万维盈创科技发展有限公司,2021-11-16,140
Java开发工程师,北京万维盈创科技发展有限公司,2021-11-16,119
游戏开发C++实习生,维塔士电脑软件（西安）有限公司,2021-11-16,118
游戏前端开发工程师,竞技世界（北京）网络技术有限公司,2021-11-16,174
⼤数据开发⼯程师,上海吉世代网络科技有限公司,2021-11-16,121
软件工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,117
后端开发⼯程师（Golang),上海吉世代网络科技有限公司,2021-11-16,121
Android开发工程师,北京万维盈创科技发展有限公司,2021-11-16,116
工艺工程师,北京万维盈创科技发展有限公司,2021-11-16,115
图像算法工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,116
电子工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,115
IT运维工程师,中国贸促会专利商标事务所有限公司,2021-11-16,116
存储软件开发工程师,深圳市泛联信息科技有限公司,2021-11-16,108
网管前台工程师,深圳市泛联信息科技有限公司,2021-11-16,111
网管后台工程师,深圳市泛联信息科技有限公司,2021-11-16,109
软件测试工程师,深圳市泛联信息科技有限公司,2021-11-16,111
销售支持,深圳市泛联信息科技有限公司,2021-11-16,109
研发岗,四川航天川南火工技术有限公司,2021-11-16,113
软件工程师（C++）,爱科微半导体（上海）有限公司,2021-11-16,119
射频IC设计工程师,爱科微半导体（上海）有限公司,2021-11-16,140
数字设计工程师,爱科微半导体（上海）有限公司,2021-11-16,116
现场应用工程师（FAE）,爱科微半导体（上海）有限公司,2021-11-16,140
工程技术岗,中航西安飞机工业集团股份有限公司,2021-11-15,220
机械工程师,中国能源建设集团浙江火电建设有限公司,2021-11-15,133
电气工程师,中国能源建设集团浙江火电建设有限公司,2021-11-15,128
大宗商品trader,陕西陕煤供应链管理有限公司,2021-11-15,136
大宗商品trader,陕西陕煤供应链管理有限公司,2021-11-15,142
大宗商品trader,陕西陕煤供应链管理有限公司,2021-11-15,128
大宗商品trader,陕西陕煤供应链管理有限公司,2021-11-15,143
大宗商品trader,陕西陕煤供应链管理有限公司,2021-11-15,146
管理培训生,泰晶科技股份有限公司,2021-11-15,129
销售工程师,泰晶科技股份有限公司,2021-11-15,126
FAE工程师,泰晶科技股份有限公司,2021-11-15,123
行政管理储备干部,泰晶科技股份有限公司,2021-11-15,124
研发工程师,泰晶科技股份有限公司,2021-11-15,129
市场策划工程师,泰晶科技股份有限公司,2021-11-15,124
硬件工程师,江苏御创科技有限公司,2021-11-15,140
研发序列/营销序列/技术序列,烟台东方威思顿电气有限公司,2021-11-15,138
美丽中国支教项目2022级支教老师,北京立德未来助学公益基金会,2021-11-15,144
"""软件工程师 （C/C++）""",邦彦技术股份有限公司,2021-11-15,143
"""软件工程师 （linux应用/驱动）""",邦彦技术股份有限公司,2021-11-15,117
硬件工程师,邦彦技术股份有限公司,2021-11-15,116
FPGA工程师,邦彦技术股份有限公司,2021-11-15,120
测试工程师,邦彦技术股份有限公司,2021-11-15,114
研发工程师（物理专业）,青岛智腾微电子有限公司,2021-11-15,128
研发工程师（数学专业）,青岛智腾微电子有限公司,2021-11-15,126
嵌入式开发工程师,深圳市中图仪器股份有限公司,2021-11-15,126
企业管理专职,中国能源建设集团浙江火电建设有限公司,2021-11-15,129
技术支持工程师,邦彦技术股份有限公司,2021-11-15,112
"""前沿技术研究岗 (含通信技术相关算法方向)""",邦彦技术股份有限公司,2021-11-15,105
C++软件工程师,深圳市中图仪器股份有限公司,2021-11-15,121
品质/工艺工程师,泰晶科技股份有限公司,2021-11-15,131
生产管理储备干部,泰晶科技股份有限公司,2021-11-15,128
攀枝花学院2021年高层次人才招聘简章,北京磐石活水信息科技有限公司,2021-11-15,127
中建四局2022届“善建者”校园招聘,中建四局土木工程有限公司,2021-11-15,122
电子电气认证事业部 销售工程师,深圳市北测检测技术有限公司,2021-11-15,109
汽车检测事业部 销售工程师,深圳市北测检测技术有限公司,2021-11-15,108
创新业务支撑,中国联合网络通信有限公司商洛市分公司,2021-11-15,120
管培生,西安和硕物流科技有限公司,2021-11-15,109
光学工程师,嘉贺恒德科技有限责任公司,2021-11-15,137
1. 研究院，研究员,深圳市北测检测技术有限公司,2021-11-15,116
电子电气检测事业部 销售工程师,深圳市北测检测技术有限公司,2021-11-15,103
部门助理/认证助理/文员,深圳市北测检测技术有限公司,2021-11-15,122
2. 研究院，科研助理,深圳市北测检测技术有限公司,2021-11-15,111
3. 电气/电磁兼容/射频测试/安规测试工程师,深圳市北测检测技术有限公司,2021-11-15,121
嵌入式软件工程师,北京金朋达航空科技有限公司,2021-11-15,120
理化测试工程师,深圳市北测检测技术有限公司,2021-11-15,117
可靠性测试工程师/项目工程师,深圳市北测检测技术有限公司,2021-11-15,113
材料分析工程师,深圳市北测检测技术有限公司,2021-11-15,113
技术支持工程师/项目工程师,深圳市北测检测技术有限公司,2021-11-15,114
管理培训生,深圳市北测检测技术有限公司,2021-11-15,110
软件研发岗,河北工大科雅能源科技股份有限公司,2021-11-14,111
技术支持（运维）,河北工大科雅能源科技股份有限公司,2021-11-14,115
硬件研发工程师,河北工大科雅能源科技股份有限公司,2021-11-14,111
自控研发工程师,河北工大科雅能源科技股份有限公司,2021-11-14,112
大数据开发工程师,河北工大科雅能源科技股份有限公司,2021-11-14,111
营销管培生,河北工大科雅能源科技股份有限公司,2021-11-14,117
专业技术岗,国家石油天然气管网集团有限公司西气东输分公司,2021-11-13,177
专业技术岗,国家石油天然气管网集团有限公司西气东输分公司,2021-11-13,168
软件开发类,建信金融科技有限责任公司,2021-11-13,185
国贸（整机）,安徽合力工业车辆进出口有限公司,2021-11-12,119
国贸（配件、技术服务）,安徽合力工业车辆进出口有限公司,2021-11-12,129
单证员（信保）,安徽合力工业车辆进出口有限公司,2021-11-12,126
计划员,安徽合力工业车辆进出口有限公司,2021-11-12,121
射频模拟IC设计工程师,深圳锐越微技术有限公司,2021-11-12,130
软件开发,中油奥博（成都）科技有限公司,2021-11-12,120
仪器研发,中油奥博（成都）科技有限公司,2021-11-12,116
网络工程师,中油奥博（成都）科技有限公司,2021-11-12,114
java工程师,北京恒华伟业科技股份有限公司,2021-11-12,117
需求分析师,北京恒华伟业科技股份有限公司,2021-11-12,114
软件工程师,医软信息科技（上海）有限公司,2021-11-12,130
数字后端设计工程师,深圳锐越微技术有限公司,2021-11-12,129
雷达信号处理工程师,深圳锐越微技术有限公司,2021-11-12,131
射频硬件与天线工程师,深圳锐越微技术有限公司,2021-11-12,122
浙江捷昌线性驱动科技股份有限公司招聘简章,浙江捷昌线性驱动科技股份有限公司,2021-11-12,131
算法工程师,医软信息科技（上海）有限公司,2021-11-12,148
江西软件职业技术大学2021年行政管理及辅导员招聘公告,北京磐石活水信息科技有限公司,2021-11-12,118
机械结构工程师,医软信息科技（上海）有限公司,2021-11-12,137
前端软件工程师,医软信息科技（上海）有限公司,2021-11-12,109
江西软件职业技术大学2021年专任教师招聘公告,北京磐石活水信息科技有限公司,2021-11-12,115
IC测试开发工程师,无锡中微腾芯电子有限公司,2021-11-12,131
IC应用验证工程师,无锡中微腾芯电子有限公司,2021-11-12,134
硬件开发工程师,无锡中微腾芯电子有限公司,2021-11-12,132
检验工程师,无锡中微腾芯电子有限公司,2021-11-12,145
试验工程师,无锡中微腾芯电子有限公司,2021-11-12,119
产品工程师,无锡中微腾芯电子有限公司,2021-11-12,120
设备维护工程师,无锡中微腾芯电子有限公司,2021-11-12,128
研发设计工程师,福建南方路面机械股份有限公司,2021-11-11,115
战略管理/供应链管理/营销管理/人力资源管理,西安中蓝金冷化工新材料有限公司,2021-11-11,127
电气工程师,北京恒华伟业科技股份有限公司,2021-11-11,126
内审专员,北京恒华伟业科技股份有限公司,2021-11-11,124
生物医学类助理研究员,广州鸿溪见杉科技有限公司,2021-11-11,123
蛋白纯化助理工程师,广州鸿溪见杉科技有限公司,2021-11-11,116
光学类助理工程师,广州鸿溪见杉科技有限公司,2021-11-11,122
机械类助理工程师,广州鸿溪见杉科技有限公司,2021-11-11,118
芯片类助理工程师,广州鸿溪见杉科技有限公司,2021-11-11,121
软件类助理工程师,广州鸿溪见杉科技有限公司,2021-11-11,138
营销经理,北京中指讯博数据信息技术有限公司,2021-11-11,112
后端工程师(深圳）,深圳小库科技有限公司,2021-11-11,122
机械设计工程师,中科微至智能制造科技江苏股份有限公司,2021-11-11,118
电气工程师,中科微至智能制造科技江苏股份有限公司,2021-11-11,116
Field Service Engineer,先晶半导体设备（上海）有限公司,2021-11-11,259
Field Process Engineer,先晶半导体设备（上海）有限公司,2021-11-11,243
后端工程师（深圳-实习）,深圳小库科技有限公司,2021-11-11,118
前端工程师（深圳）,深圳小库科技有限公司,2021-11-11,123
前端工程师（深圳-实习）,深圳小库科技有限公司,2021-11-11,121
全栈工程师（北京）,深圳小库科技有限公司,2021-11-11,122
软件工程师,中科微至智能制造科技江苏股份有限公司,2021-11-11,129
机械设计工程师,普达迪泰（成都）智造研究院有限公司,2021-11-11,110
后端工程师（北京）,深圳小库科技有限公司,2021-11-11,113
后端工程师（北京-实习）,深圳小库科技有限公司,2021-11-11,118
全栈工程师（北京-实习）,深圳小库科技有限公司,2021-11-11,112
